rewire_id,text,label
kenya2022_english-1,and what if I'm haruto? 🥺,
kenya2022_english-2,Noooo Ruto.... Pls do whatever you want 🥺🥺😩,
kenya2022_english-3,[USER] The only problem Kenya can cause in Russia is give them Ruto. He'll steal everything,
kenya2022_english-4,When will ngilu burn her finance offices again?,
kenya2022_english-5,"[USER] Ruto is mature,he can't settle that low like a mlevi",
kenya2022_english-6,"For the food crisis that we are able to experience in our country, I blame Raila #TheCoupMaster",
kenya2022_english-7,[USER] You have truly dedicated your absolute strength in hating Raila.,
kenya2022_english-8,I assume you are a Muslim. Stop peddling lies tafadhali. Stand up for the truth.,
kenya2022_english-9,"Fury, anger, lies, insults and desperation at SAGANA  is an indication The Mganga project has failed. Beef inside a Hindu temple!",
kenya2022_english-10,All  Uhuru is saying  that a slave serving his master  has nothing to ask for,
kenya2022_english-11,Our point  is being  proven  here.Ruto is a Warlord.Period!,
kenya2022_english-12,Uhuru confirms he won't handover to ruto,
kenya2022_english-13,I understand that the only ancestor you know is Ruto 😂😂,
kenya2022_english-14,"[USER] Good for him, he has finally learned the hard way that Raila is Judas.",
kenya2022_english-15,"#JKLive Ruto keeps Stolen money in the House just like Murkomen,  Waiguru , it's never kept in the bank !",
kenya2022_english-16,The only language [USER] speaks and understand is Violence.,
kenya2022_english-17,[USER] How will God listen to you when you call other people kitendawili? Too much pride!,
kenya2022_english-18,When your country is invaded america will do nothing‼️‼️‼️,
kenya2022_english-19,[USER] Getting 10% will be hard for your old stooge senile Raila,
kenya2022_english-20,[USER] That's how blinded you are don't forget how mganga can do,
kenya2022_english-21,[USER] you hate Raila Odinga with passion 💔😂😂😂,
kenya2022_english-22,"RT [USER]: Prof, ICC is an imperial court. No Kenyan should be tried there!",
kenya2022_english-23,The UK and US want to see if he can play their tune. Be very worried!,
kenya2022_english-24,Ruto or Raila won't give a shiet about you mkiwachagua,
kenya2022_english-25,Charity Ngilu hates Ruto with passion.,
kenya2022_english-26,We need to end this Ruto and Raila thing.,
kenya2022_english-27,As if being stupid isn't enough .... someone will vote for Ruto,
kenya2022_english-28,#WhoWantsUhuruDead apart from Ruto?Kenyans are awake and they won't support him.,
kenya2022_english-29,Uhuru supporting Raila instead of Ruto is wild,
kenya2022_english-30,U DESERVE IT RUTO🥺🤧💓💓,
kenya2022_english-31,[USER] [USER] [USER] Are you even a Kenyan to begin with,
kenya2022_english-32,You mean kikuyu and Kalenjins are not Kenyans or they are the scarecrows??,
kenya2022_english-33,[USER] You'll never rule this country Mzee Jakom🙄🙄,
kenya2022_english-34,I wish you spent more time doing this bro instead of spewing propagandas for Tangatanga.,
kenya2022_english-35,If you are keen with the replies only Kalenjin accounts are replying positive but most Luhyas negative  That alone tells alot,
kenya2022_english-36,"Not surprised, you're a light weight anyway 🚮",
kenya2022_english-37,[USER] [USER] [USER] That's what Ruto is. U camel herder shut up. Baba is statesman.,
kenya2022_english-38,"He is saying nothing about the bad economy,only ruto  ptoooh !",
kenya2022_english-39,President Biden cannot meet that looter.... The world knows who Ruto is..,
kenya2022_english-40,"RT [USER]: Hey you bigot [USER] respect our officers, you are a nobody",
kenya2022_english-41,"Raila has confirmed that Azimio is not about future aspirations, it's about the ancestral thirst for control, theft and extended colonisation.",
kenya2022_english-42,[USER] [USER] You are bitter to the extent of riding a Tigger.,
kenya2022_english-43,[USER] I have counted 13 Kalenjins. Ruto is a pathetic Tribalist.,
kenya2022_english-44,[USER] Most of these civil servants working under Ruto are Kalenjins,
kenya2022_english-45,"wait, u're saying this is not part of an au??? 🤣💕",
kenya2022_english-46,You've grown so fast ruto🥺🤍,
kenya2022_english-47,JAHHAHHSHAHA dont expose him like that 😔🫂🤨🤨,
kenya2022_english-48,that's where wetangula comes in😂,
kenya2022_english-49,[USER] Russia security concerns are legitimate. A Tangatanga adherent is not expected to comprehend such a broad topic.,
kenya2022_english-50,[USER] Raila is a brother to Idi Amin And cousin to Adolf Hitler,
kenya2022_english-51,"Then immediately, Raila will go to Dubai or India 😂🗣️🤦🏿‍♂️",
kenya2022_english-52,"[USER] [USER] Not really.,he hates Raila with deep passion",
kenya2022_english-53,I think our president is afraid of Ruto haha,
kenya2022_english-54,[USER] Only a gullible person like you can support this ineptitude Mudavadi.,
kenya2022_english-55,They want to punish Uhuru & Raila😂.,
kenya2022_english-56,[USER] We will vote him for posterity.Ruto is too tribal to lead this nation.,
kenya2022_english-57,[USER] Dp you really think Uhuru will make Raila president??? 😂😂,
kenya2022_english-58,The way Grand Mullah hates Raila🕺🏽🕺🏽 When i grow up i want to be the guy Nassir,
kenya2022_english-59,Between 2 devils pick the lesser one and in this case ruto is far worse than Rails.,
kenya2022_english-60,Raila will pick a Kikuyu deputy and weaken him worse than Uhuru has weakened Ruto.,
kenya2022_english-61,Ruto has a longer campaign history than the late Mzee Daniel Moi,
kenya2022_english-62,"[USER] [USER] [USER] [USER] [USER] come for hacking lessons, otherwise buy another system from russia, the iebc one is already hacked,",
kenya2022_english-63,"[USER] [USER] [USER] [USER] [USER] Best IT brains like [USER] are in baba’s side, don’t worry about chirchir",
kenya2022_english-64,[USER] Christianity itself is a scam... why does ruto not take his money to mosques ama ni mosques ndio hazijengwi?,
kenya2022_english-65,"There is no difference between Uhuru wa Kenyatta and ngujiri wambugu ,both are just supporting Raila..hayo mambo mengine ni kelele tu",
kenya2022_english-66,"[USER] [USER] [USER] [USER] [USER] I think that guy hates Kenya, and he would easily watch it burn🤔",
kenya2022_english-67,[USER] [USER] [USER] [USER] Theyrenow starting their slavery route wit uliam,
kenya2022_english-68,"[USER] [USER] [USER] You're a Ruto sycophant, stop hiding behind neutrality.",
kenya2022_english-69,"[USER] [USER] [USER] [USER] [USER] [USER], this is what Ruto is doing to kikuyus!!!",
kenya2022_english-70,"[USER] Respect Musalia Mudavadi please,he is not your equal nani",
kenya2022_english-71,[USER] [USER] [USER] You have nothing new to offer in Kenyan politics. Stay in Canada and stop your yapping on twitter,
kenya2022_english-72,[USER] [USER] [USER] [USER] [USER] Mwesh if you are serious supporter of ODM Kindly remove masai regalia and put orange! Quite sure you are going back to America,
kenya2022_english-73,[USER] [USER] [USER] [USER] Grand Mullah is a Ruto follower.... stop carrying us babies,
kenya2022_english-74,Ruto steals from kalenjins and takes to kikuyu churches.are there no churches in kalenjinland?is maize and kimwarer feeding kiosk churches in the mountain?kalenjins wake up.hamuna midomo?,
kenya2022_english-75,"[USER] [USER] [USER] [USER] [USER] [USER] We reject people like you ,shindwe",
kenya2022_english-76,Heavens will shake and there will be no where for the tangatanga battalion to hide!  Wacha siasa ianze sasa!,
kenya2022_english-77,[USER] [USER] [USER] [USER] Where are those TangaTanga minions now face them eyeball to eyeball alaaaaaar.,
kenya2022_english-78,"RT [USER]: [USER] [USER] Inside ruto there is Adolf Hitler, amin Dada and museveni, very dangerous",
kenya2022_english-79,[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] The most corrupt woman in kamba land,
kenya2022_english-80,[USER] [USER] [USER] [USER] [USER] You've been left only with propaganda YK92 style 😂 Kikuyus are voting Raila this year something unprecedented,
kenya2022_english-81,[USER] [USER] [USER] You can call a whole new hospital 'unnecessary ' something is wrong with tangatanga adherents,
kenya2022_english-82,RT [USER]: Of course Raila is best placed to continue making Kenya suffer!!! #kemsa #Rigathi #SaganaDeclaration  #uhuru [URL],
kenya2022_english-83,"[USER] Mudavadi this, Mudavadi that.. The biggest hyprocate",
kenya2022_english-84,"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] The most #Useless ""woman's"" of our time. Your hate to some other quarters in the world will kill you,",
kenya2022_english-85,[USER] It's good you are campaigning for ruto more than qassim,
kenya2022_english-86,[USER] [USER] [USER] Nothing is good in raila ..he is the biggest enemy of this country ...he will turn this to himself and his tribesman .....,
kenya2022_english-87,"RT [USER]: [USER] [USER] [USER] [USER] [USER] Fatuma, we hate projects.. This is bound to…",
kenya2022_english-88,[USER] [USER] [USER] This UDAKU propagandist should leave Raila alone,
kenya2022_english-89,[USER] [USER] [USER] Filthy woman go shower and take some fresh air,
kenya2022_english-90,[USER] [USER] [USER] [USER] [USER] You are Intellectually handicapped. You can't comprehend beyond what has been twitted?,
kenya2022_english-91,"[USER] [USER] [USER] Yes... He is DP constitutionally. Kwa ground, [USER] is. Africa is wierd!!",
kenya2022_english-92,[USER] [USER] [USER] [USER] [USER] [USER] You Kalenjins are making it bad for Ruto.,
kenya2022_english-93,[USER] [USER] [USER] [USER] that will never deliver presidency to you. you calculate badly. let the Kambas decide who to lead them,
kenya2022_english-94,[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Ngilu is the most corrupt woman in kenya,
kenya2022_english-95,[USER] [USER] [USER] Who gives a fuck nigga....,
kenya2022_english-96,[USER] [USER] [USER] That's why you will never go back to Kenya,
kenya2022_english-97,[USER] [USER] [USER] So according to this one U.Kenyatta is not corrupt compared to Ruto.... Reasoning ya Kenya hukuwa shit nowonder they deserve the suffering.,
kenya2022_english-98,RT [USER]: [USER] [USER]   we are not fools!  you are the traitors  Deputy President Babu Owino Kisii,
kenya2022_english-99,[USER] [USER] [USER] You are a Canadian stop poking your shapeless nose in our country,
kenya2022_english-100,"[USER] [USER] [USER] [USER] Stupid outsider,,,,, am supporting the government to keep you off ,kenya we don't want rebals in our country",
kenya2022_english-101,[USER] [USER] [USER] This Tangatanga mfs are so bitter and full of hate na bado 😂😂,
kenya2022_english-102,[USER] [USER] [USER] Kikuyus who hate Raila for no apparent reason.,
kenya2022_english-103,[USER] [USER] [USER] You can't be neutral yet you hate RAILA bwana 😂,
kenya2022_english-104,[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Mudavadi is a shame to us as a Luhya nation,
kenya2022_english-105,[USER] [USER] [USER] [USER] [USER] [USER] [USER] They always miss that hard fact. It actually works in the opposite direction. Kenyans will express their disgust and disdain through the ballot.,
kenya2022_english-106,#Tangatanga minions are determined to burn this country for power  CC [USER] [USER] [USER],
kenya2022_english-107,"[USER] [USER] [USER] Come back to Kenya we stop this nonsense,",
kenya2022_english-108,[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Pathetic old woman. Looters of public funds...,
kenya2022_english-109,[USER] [USER]  and [USER] had to work together. They are both traitors ahd betrayers.,
