Gold Standard ID,Language,X,text,user_name,user_id,label
gs201,English,55378,@johnnjenga @BUANTAI004 @ShaffieWeru @mithika_Linturi @SABINACHEGE @KameneGoro sick feminized society is where we are at currently,Lisimba,3918809081,hateful
gs202,English,9717,How many Kikuyu spokesmen do we need in Mt. Kenya? Ugh!!!,"Peter Kariuki, M.Sc.",1390948818129203204,hateful
gs203,English,50071,@johnnjenga @ShaffieWeru @mithika_Linturi @SABINACHEGE @KameneGoro Our society has been turned to be antimen and proStupid women,MkisiiWaNairobi,1352158178423828480,hateful
gs204,English,57783,Today’s “vijana” are the smartest but the laziest of all time-they want to be paid for littler or no work!,Rodney Musalia,839334020,hateful
gs205,English,46128,"In Azimio we only have two women, @gladyswanga and @SABINACHEGE. The rest are jokers and cowards like Miguna Miguna",Sir Breezy,1236327598214561793,hateful
gs206,English,1546,@kipmurkomen We all want to but these Arabs are usually mad when they get to the finals,mmasi,3467915909,hateful
gs207,English,29884,"Omwami as we respect your right, we shall reject her at the ballot. We can't afford another AKUBA",onyango daniel,1462779225111420930,hateful
gs208,English,7885,@AllanObare4 @anc_party Sir take note that this is Kenya. Talent or academic intelligence doesn't matter. Everything is rotten to the core.,Fredrick Makoha,1444702336958533635,hateful
gs209,English,30049,@ledamalekina We will shave both of you Ganjaans!,kamaacia,3344515918,hateful
gs210,English,7644,@Aaroncheruiyot Don't be stupid all the time. Must you drag Raila's name in everything. You are too petty like a woman,Ben,1445225546644922371,hateful
gs211,English,3656,"@MillicentOmanga A true Pan Africanist, and believer of our continent must support Senegal not those Arabs 
Africa Must Rise",elisha oneko🇰🇪,3880540401,hateful
gs212,English,3644,"@susankihika A true Pan Africanist, and believer of our continent must support Senegal not those Arabs 
Africa Must Rise",elisha oneko🇰🇪,3880540401,hateful
gs213,English,41070,"If he does it ,I will live to respect him  because at the moment he is a black sheep in mulembe house",social critic,4001631711,hateful
gs214,English,21178,@MWNjoroge @mamangilu @RailaOdinga @makaumutua She's most corrupt female species to ever Exist.,Don. kim.,493566583,hateful
gs215,English,8783,@MoiGideon @Najmmer Arabs have zero respect for 'non-arab Africans. Racist to their breath. Congratulations Senegal!,Moses MIDUDA,811509488825970688,hateful
gs216,English,12045,@RTanofresh @GunnerAfrican @mamangilu Most dangerous woman!,Caktar,898066551978459137,hateful
gs217,English,7725,@MoiGideon @skmusyoka The shame of Africa,СК,3421682975,hateful
gs218,English,56025,@MigunaMiguna @HassanAliJoho @WilliamsRuto The good news is that your not a Kenyan,Sammy Stepper,1443978855757357104,hateful
gs219,English,33167,@whip_chief @HilaryNuwa @gabrieloguda @HonJumwa @TheODMparty These tangatanga heads never think before hitting the keyboard,Robert OGILLO,806478132417097728,hateful
gs220,English,3010,"@MoiGideon I beg to differ mhesh, let's support Africans, not the Arabs.",Chwaks,937933623545778176,hateful
gs221,English,6538,"@MoiGideon @skmusyoka You support Arabs leaving your fellow blacks? Charity starts at home Giddy, think twice.",Brian Fidel,928300403812388866,hateful
gs222,English,38710,@AllanObare4 @Indakwa @anc_party African politicians are lunatics,Quotable quotes,435639184,hateful
gs223,English,52184,@BulleJR3 @Hon_FatumaGedi Muslim man abusing woman ....Not prophetic PBUH Teaching!,Delvington Mossey,1372940121759178753,hateful
gs224,English,8242,"@MillicentOmanga Leave with the Arabs,, Africans 💪💪",Brian Rotich,1487289820032700417,hateful
gs225,English,51190,Yeah listen to what this mountain mzee has to say about what UHURU instructed them about,KINYAONE BINTIY,1273200152099110913,hateful
